alu_id,opcode,a,b,a_hw,b_hw,y_toggles
0,9,7855,11278,10,6,7
0,5,16562,40670,5,11,6
0,2,4010,61736,8,7,7
0,10,2458,20947,6,8,9
0,2,31995,29323,12,8,6
0,14,10444,4977,6,7,4
0,15,56161,18555,9,8,4
0,9,48273,39104,8,5,10
0,1,46206,29524,10,8,8
0,4,10313,32231,5,12,4
0,9,54659,91,8,5,12
0,1,49045,19063,11,9,12
0,4,24550,44719,11,11,7
0,11,24594,46076,4,11,8
0,2,61636,33087,7,8,13
0,0,6515,39770,8,9,6
0,11,51966,27508,11,9,8
0,15,48098,18658,10,6,8
0,0,58008,60831,7,12,11
0,11,35314,31677,8,12,7
0,9,4020,44116,8,7,9
0,5,54291,37292,7,7,7
0,15,7995,9269,10,6,10
0,12,39220,41557,7,7,10
0,1,65266,13991,12,9,6
0,9,5860,41537,7,5,8
0,15,55546,53453,10,8,7
0,11,34485,33512,8,6,7
0,14,11794,36663,6,10,10
0,10,42232,20000,8,5,12
0,10,546,21996,3,9,8
0,9,23418,20766,10,7,7
0,14,62187,63243,11,10,4
0,5,24158,11644,10,9,8
0,7,21643,54034,7,7,6
0,14,54915,225,8,4,14
0,13,23626,29653,7,10,9
0,12,61156,36084,10,8,8
0,12,16154,12003,9,9,8
0,12,33267,18221,8,8,6
0,15,17885,51436,9,8,10
0,11,46079,34168,13,7,10
0,3,63271,4091,11,11,5
0,6,39692,38843,7,11,11
0,10,14921,31594,7,10,9
0,9,53784,59798,6,9,8
0,6,28974,54461,8,10,6
0,15,10358,9589,7,8,6
0,12,38293,52603,8,11,10
0,9,12399,19657,8,7,9
0,13,25012,42458,7,9,7
0,0,61919,58125,12,8,13
0,4,26499,50257,8,6,11
0,6,29312,1273,5,7,7
0,9,15050,25823,8,10,9
0,9,30084,34992,7,5,9
0,12,34064,9694,4,9,7
0,1,64265,9175,9,9,7
0,3,12813,46993,6,9,9
0,14,63898,34607,10,9,8
0,13,33719,29382,9,8,9
0,4,60572,32559,9,12,10
0,9,15003,98,9,3,11
0,6,33582,4749,7,6,10
0,7,46250,61600,8,6,10
0,13,12016,43240,8,7,11
0,15,2513,25531,6,10,7
0,15,54653,8536,11,5,6
0,9,12183,41478,10,5,7
0,13,25540,63191,7,12,10
0,15,4941,51059,7,10,11
0,0,29774,26041,8,9,6
0,1,49721,20353,7,7,10
0,13,61327,32254,12,13,9
0,9,34831,52019,6,9,6
0,12,42326,21146,8,7,6
0,10,1865,30675,6,11,7
0,9,62936,3704,10,7,4
0,6,24613,54793,5,7,7
0,10,26668,7379,6,8,10
0,8,20736,24492,3,10,6
0,13,22636,16544,7,3,9
0,10,20433,3840,9,4,8
0,12,34776,48064,8,8,9
0,1,45265,3153,7,5,9
0,14,48709,26547,9,10,12
0,8,50816,21500,5,10,12
0,7,32897,56369,3,8,0
0,0,64899,16959,10,8,9
0,1,35940,37758,6,10,7
0,8,64398,19870,11,9,10
0,15,39753,64010,8,8,9
0,5,51281,34377,6,6,9
0,14,58988,40024,9,7,6
0,7,57903,23171,9,7,11
0,2,56276,17556,10,5,12
0,15,26428,6982,9,7,8
0,6,44609,5623,7,10,5
0,3,12146,42402,9,7,9
0,8,658,45259,4,8,6
0,5,60977,971,9,7,8
0,13,35185,21342,7,9,7
0,2,22197,3336,9,4,10
0,12,38975,62128,9,8,11
0,14,12338,1285,5,4,13
0,10,55480,26493,8,11,6
0,1,35469,14793,7,8,9
0,4,57012,32741,10,12,9
0,1,50467,41773,7,8,6
0,14,50526,10164,9,8,10
0,8,49508,35684,6,7,12
0,13,55434,34715,7,9,8
0,3,64107,9131,11,8,6
0,2,12221,9433,11,7,8
0,13,44256,9823,7,9,10
0,5,19603,806,7,5,7
0,11,59401,33900,6,6,10
0,5,48560,47351,9,11,6
0,15,49239,62326,7,11,11
0,7,48564,41501,10,7,9
0,14,25414,37734,7,8,10
0,4,53567,62804,10,9,8
0,0,13388,36870,6,4,7
0,10,27949,56454,9,8,6
0,0,64952,51951,11,11,8
0,8,36671,43529,11,6,7
0,8,64085,26142,10,8,1
0,5,25294,59094,8,10,8
0,5,2729,29903,6,10,8
0,5,56640,29622,7,10,11
0,5,50266,38881,7,9,6
0,9,24615,45380,6,6,8
0,9,40607,37800,11,7,11
0,3,23941,40325,8,8,7
0,4,2440,1430,4,6,7
0,11,60733,61777,11,8,6
0,4,36892,60349,5,12,9
0,9,30030,16175,9,11,4
0,13,64748,21790,11,8,8
0,4,18624,6627,4,8,7
0,4,28747,65425,7,11,12
0,3,18249,11283,7,6,10
0,10,37148,60712,6,8,8
0,12,31069,25070,10,9,7
0,10,38331,5240,10,6,7
0,6,46941,64030,11,10,10
0,4,31179,61915,10,11,9
0,9,17184,47876,4,7,5
0,5,4301,11410,6,6,8
0,13,27305,64670,8,11,9
0,11,11712,16971,6,6,7
0,3,10625,55474,5,8,2
0,1,47371,4424,8,4,9
0,0,50684,17583,10,8,8
0,9,57102,34677,10,9,7
0,4,28173,12583,8,7,7
0,15,8700,16063,8,12,8
0,10,59521,43624,6,7,6
0,6,33019,8473,8,5,8
0,13,6995,63215,8,13,8
0,1,40369,65124,9,10,7
0,4,48630,49000,12,10,10
0,14,51823,13866,10,7,12
